anchor,neighbor,cosine,period
슈카,리서치,0.8658015131950378,이벤트주간
슈카,지배,0.7633019089698792,이벤트주간
슈카,조언,0.7461639642715454,이벤트주간
슈카,믿음,0.7323197722434998,이벤트주간
슈카,도움,0.731460690498352,이벤트주간
알상무,알멘,0.9545060992240906,이벤트주간
알상무,대우건설,0.9418671727180481,이벤트주간
알상무,노래,0.9210977554321289,이벤트주간
알상무,손절,0.9044550657272339,이벤트주간
알상무,삼전,0.8812305331230164,이벤트주간
니니,구조대,0.9070220589637756,이벤트주간
니니,삼성전자,0.8900036811828613,이벤트주간
니니,매수,0.8881133794784546,이벤트주간
니니,위폴,0.8779640793800354,이벤트주간
니니,대우건설,0.8700069785118103,이벤트주간
