impact_bin,post_count,share_pct,bin_start,bin_end
0.0-0.5,873,63.49,0.0,0.5
0.5-1.0,0,0.00,0.5,1.0
1.0-1.5,0,0.00,1.0,1.5
1.5-2.0,16,1.16,1.5,2.0
2.0-2.5,75,5.45,2.0,2.5
2.5-3.0,111,8.07,2.5,3.0
3.0-3.5,17,1.24,3.0,3.5
3.5-4.0,14,1.02,3.5,4.0
4.0-4.5,26,1.89,4.0,4.5
4.5-5.0,31,2.25,4.5,5.0
5.0-5.5,33,2.40,5.0,5.5
5.5-6.0,29,2.11,5.5,6.0
6.0-6.5,9,0.65,6.0,6.5
6.5-7.0,12,0.87,6.5,7.0
7.0-7.5,14,1.02,7.0,7.5
7.5-8.0,15,1.09,7.5,8.0
8.0-8.5,14,1.02,8.0,8.5
8.5-9.0,8,0.58,8.5,9.0
9.0-9.5,7,0.51,9.0,9.5
9.5-10.0,16,1.16,9.5,10.0
10.0-10.5,10,0.73,10.0,10.5
10.5-11.0,12,0.87,10.5,11.0
11.0-11.5,18,1.31,11.0,11.5
11.5-12.0,9,0.65,11.5,12.0
12.0-12.5,3,0.22,12.0,12.5
12.5-13.0,2,0.15,12.5,13.0
13.0-13.5,1,0.07,13.0,13.5
13.5-14.0,0,0.00,13.5,14.0
