date,stance_internal_0_100,participation_internal_0_100,stance_index_0_100,participation_index_0_100,state_label_ko,stance_delta,participation_delta,prev_state_label_ko,anchor_label,post_count
2025-03-28,33.274124,38.968648,29.709039,37.469854,신중,0.000000,0.000000,,,40
2025-03-29,41.114667,29.225894,36.709524,28.101822,신중,7.000485,-9.368032,신중,,15
2025-03-30,37.726265,38.718169,33.684165,37.229008,신중,-3.025359,9.127187,신중,,10
2025-03-31,37.299374,55.124377,31.082812,53.254559,공포,-2.601354,16.025551,신중,,50
2025-04-01,47.965613,42.710127,42.826440,41.067430,신중,11.743629,-12.187129,공포,,69
2025-04-02,40.593793,44.739157,36.244458,43.018421,신중,-6.581982,1.950991,신중,,49
2025-04-03,42.651208,48.245953,38.081436,46.390339,신중,1.836978,3.371919,신중,bear,66
2025-04-04,47.097617,56.088339,39.248014,54.258686,공포,1.166578,7.868347,신중,bear,69
2025-04-05,35.316030,51.451666,31.532170,49.472756,신중,-7.715845,-4.785930,공포,bear,34
2025-04-06,40.373915,50.582626,36.048138,48.637141,신중,4.515969,-0.835615,신중,bear,24
2025-04-07,40.351114,46.924480,36.027780,45.119692,신중,-0.020358,-3.517448,신중,bear,119
2025-04-08,38.719949,48.770923,34.571383,46.895118,신중,-1.456397,1.775426,신중,bear,77
2025-04-09,42.699492,59.055333,35.582910,57.349305,공포,1.011527,10.454187,신중,bear,87
2025-04-10,53.598184,57.982617,44.665153,56.231893,공포,9.082243,-1.117413,공포,bear,110
2025-04-11,45.246703,52.732413,37.705586,50.762930,공포,-6.959568,-5.468963,공포,,100
2025-04-12,42.220190,54.883231,35.183492,53.003366,공포,-2.522094,2.240436,공포,,51
2025-04-13,43.677730,48.864304,38.997973,46.984908,신중,3.814482,-6.018458,공포,,46
2025-04-14,53.760495,54.957414,44.800413,53.080639,공포,5.802439,6.095732,신중,,81
2025-04-15,45.849781,56.207684,38.208151,54.383004,공포,-6.592262,1.302365,공포,,59
2025-04-16,42.359082,54.786872,35.299235,52.902992,공포,-2.908916,-1.480012,공포,,73
2025-04-17,47.923918,61.273524,39.936598,59.659921,공포,4.637363,6.756929,공포,,66
2025-04-18,49.346633,55.198251,41.122194,53.331512,공포,1.185596,-6.328409,공포,,70
2025-04-19,53.223873,42.584561,47.521315,40.946693,낙관,6.399121,-12.384819,공포,,27
2025-04-20,34.351613,56.542356,28.626344,54.731620,공포,-18.894971,13.784927,낙관,,21
2025-04-21,51.591485,56.448353,42.992904,54.633701,공포,14.366560,-0.097919,공포,,56
2025-04-22,48.739954,69.578213,40.616628,68.310639,공포,-2.376276,13.676938,공포,,71
2025-04-23,44.653491,60.715739,37.211243,59.078894,공포,-3.405386,-9.231744,공포,,76
2025-04-24,54.903281,52.355038,45.752734,50.369831,공포,8.541492,-8.709063,공포,,56
2025-04-25,41.140978,52.995955,34.284148,51.037454,공포,-11.468586,0.667622,공포,,73
2025-04-26,58.526964,53.224526,48.772470,51.275548,공포,14.488322,0.238094,공포,,30
2025-04-27,55.236102,66.968030,46.030085,65.591698,공포,-2.742385,14.316150,공포,,26
2025-04-28,44.722276,53.851135,37.268563,51.928265,공포,-8.761522,-13.663433,공포,,53
2025-04-29,44.903919,60.742474,37.419933,59.106744,공포,0.151369,7.178479,공포,,57
2025-04-30,46.568175,43.785241,41.578728,42.101194,신중,4.158795,-17.005551,공포,,46
2025-05-01,38.145209,48.316516,34.058222,46.458189,신중,-7.520505,4.356995,신중,,46
2025-05-02,42.225697,54.865170,35.188081,52.984552,공포,1.129859,6.526364,신중,,85
2025-05-03,36.636333,39.496178,32.711012,37.977094,신중,-2.477069,-15.007458,공포,,15
2025-05-04,42.839092,53.624818,35.699243,51.692519,공포,2.988232,13.715425,신중,,10
2025-05-05,50.475388,45.499688,45.067311,43.749700,낙관,9.368067,-7.942818,공포,,34
2025-05-06,45.237853,49.235691,40.390940,47.342010,신중,-4.676371,3.592310,낙관,,25
2025-05-07,45.858577,44.935147,40.945158,43.206872,신중,0.554218,-4.135138,신중,,38
2025-05-08,48.214997,45.186503,43.049104,43.448561,신중,2.103946,0.241689,신중,,63
2025-05-09,64.567874,45.575474,59.736220,43.822571,낙관,16.687116,0.374010,신중,,61
2025-05-10,38.190833,29.819728,34.098958,28.672815,신중,-25.637262,-15.149755,낙관,,14
2025-05-11,54.990682,62.090028,45.825568,60.510446,공포,11.726610,31.837630,신중,,18
2025-05-12,60.967817,54.884082,51.209771,53.004252,탐욕,5.384203,-7.506193,공포,,67
2025-05-13,59.564852,59.490848,49.637377,57.802967,공포,-1.572395,4.798715,탐욕,,47
2025-05-14,51.046236,47.585248,45.576996,45.755046,낙관,-4.060380,-12.047921,공포,,64
2025-05-15,48.798105,54.927945,40.665088,53.049943,공포,-4.911909,7.294896,낙관,,35
2025-05-16,41.205847,56.129604,34.338206,54.301670,공포,-6.326882,1.251728,공포,,62
2025-05-17,43.376779,46.644665,38.729267,44.850640,신중,4.391061,-9.451031,공포,,36
2025-05-18,49.578422,58.169810,41.315352,56.426885,공포,2.586085,11.576246,신중,,27
2025-05-19,55.233390,67.937165,46.027825,66.601213,공포,4.712473,10.174328,공포,,46
2025-05-20,57.035523,68.731863,47.529602,67.429024,공포,1.501777,0.827811,공포,,39
2025-05-21,54.844404,54.741404,45.703670,52.855629,공포,-1.825933,-14.573395,공포,,53
2025-05-22,50.234596,60.262486,41.862163,58.606757,공포,-3.841507,5.751128,공포,,50
2025-05-23,61.532272,59.189770,51.915340,57.489344,탐욕,10.053177,-1.117413,공포,,52
2025-05-24,60.762328,70.588532,50.952910,69.363055,탐욕,-0.962430,11.873711,탐욕,,23
2025-05-25,50.380731,57.055644,41.983942,55.266296,공포,-8.968967,-14.096759,탐욕,,19
2025-05-26,52.397042,45.723787,46.783073,43.965180,낙관,4.799131,-11.301116,공포,,48
2025-05-27,47.571724,62.184380,39.643103,60.608730,공포,-7.139970,16.643550,낙관,,32
2025-05-28,53.974428,59.736909,44.978690,58.059280,공포,5.335587,-2.549450,공포,,44
2025-05-29,62.419333,52.898880,53.024166,50.936333,탐욕,8.045476,-7.122947,공포,,66
2025-05-30,58.690246,57.426896,48.908538,55.653017,공포,-4.115628,4.716683,탐욕,,55
2025-05-31,57.710206,66.709431,48.091838,65.322323,공포,-0.816700,9.669307,공포,,26
2025-06-01,47.145362,42.274531,42.094073,40.648588,신중,-5.997765,-24.673736,공포,,12
2025-06-02,41.942069,49.470288,37.448276,47.567585,신중,-4.645797,6.918997,신중,,46
2025-06-03,47.659156,47.357854,42.552818,45.536398,신중,5.104542,-2.031187,신중,,30
2025-06-04,57.626395,51.445345,51.848176,49.466678,낙관,9.295358,3.930280,신중,,73
