state_label_ko,start_date,end_date
신중,2025-03-28,2025-03-31
낙관,2025-04-01,2025-04-01
신중,2025-04-02,2025-04-03
공포,2025-04-04,2025-04-04
신중,2025-04-05,2025-04-05
공포,2025-04-06,2025-04-06
신중,2025-04-07,2025-04-08
공포,2025-04-09,2025-04-10
신중,2025-04-11,2025-04-11
공포,2025-04-12,2025-04-12
신중,2025-04-13,2025-04-13
낙관,2025-04-14,2025-04-14
공포,2025-04-15,2025-04-18
낙관,2025-04-19,2025-04-19
신중,2025-04-20,2025-04-20
낙관,2025-04-21,2025-04-21
공포,2025-04-22,2025-04-22
신중,2025-04-23,2025-04-24
낙관,2025-04-25,2025-04-25
신중,2025-04-26,2025-04-26
공포,2025-04-27,2025-04-27
신중,2025-04-28,2025-05-01
공포,2025-05-02,2025-05-02
신중,2025-05-03,2025-05-08
낙관,2025-05-09,2025-05-09
신중,2025-05-10,2025-05-10
낙관,2025-05-11,2025-05-11
공포,2025-05-12,2025-05-12
탐욕,2025-05-13,2025-05-13
낙관,2025-05-14,2025-05-14
공포,2025-05-15,2025-05-15
신중,2025-05-16,2025-05-17
낙관,2025-05-18,2025-05-18
탐욕,2025-05-19,2025-05-19
공포,2025-05-20,2025-05-20
낙관,2025-05-21,2025-05-21
공포,2025-05-22,2025-05-22
낙관,2025-05-23,2025-05-23
신중,2025-05-24,2025-05-27
공포,2025-05-28,2025-05-28
낙관,2025-05-29,2025-05-30
공포,2025-05-31,2025-05-31
신중,2025-06-01,2025-06-02
탐욕,2025-06-03,2025-06-03
낙관,2025-06-04,2025-06-05
공포,2025-06-06,2025-06-06
신중,2025-06-07,2025-06-07
공포,2025-06-08,2025-06-08
낙관,2025-06-09,2025-06-10
탐욕,2025-06-11,2025-06-13
공포,2025-06-14,2025-06-14
낙관,2025-06-15,2025-06-16
탐욕,2025-06-17,2025-06-17
낙관,2025-06-18,2025-06-18
탐욕,2025-06-19,2025-06-20
신중,2025-06-21,2025-06-22
낙관,2025-06-23,2025-06-24
탐욕,2025-06-25,2025-06-27
신중,2025-06-28,2025-06-28
공포,2025-06-29,2025-06-29
낙관,2025-06-30,2025-06-30
신중,2025-07-01,2025-07-01
낙관,2025-07-02,2025-07-03
탐욕,2025-07-04,2025-07-04
신중,2025-07-05,2025-07-05
낙관,2025-07-06,2025-07-06
공포,2025-07-07,2025-07-07
탐욕,2025-07-08,2025-07-08
낙관,2025-07-09,2025-07-11
신중,2025-07-12,2025-07-13
탐욕,2025-07-14,2025-07-14
낙관,2025-07-15,2025-07-15
신중,2025-07-16,2025-07-16
낙관,2025-07-17,2025-07-18
신중,2025-07-19,2025-07-19
탐욕,2025-07-20,2025-07-20
낙관,2025-07-21,2025-07-23
신중,2025-07-24,2025-07-24
낙관,2025-07-25,2025-07-25
공포,2025-07-26,2025-07-26
낙관,2025-07-27,2025-07-30
공포,2025-07-31,2025-08-01
신중,2025-08-02,2025-08-03
낙관,2025-08-04,2025-08-04
신중,2025-08-05,2025-08-05
낙관,2025-08-06,2025-08-08
공포,2025-08-09,2025-08-11
신중,2025-08-12,2025-08-12
낙관,2025-08-13,2025-08-14
탐욕,2025-08-15,2025-08-15
공포,2025-08-16,2025-08-16
신중,2025-08-17,2025-08-19
낙관,2025-08-20,2025-08-20
신중,2025-08-21,2025-08-21
낙관,2025-08-22,2025-08-22
신중,2025-08-23,2025-08-23
낙관,2025-08-24,2025-08-27
신중,2025-08-28,2025-08-28
낙관,2025-08-29,2025-08-29
