date,state_label_ko,psychology_index_0_100,participation_index_0_100,post_count
2025-03-28,신중,49.114729,38.358897,40
2025-03-29,신중,49.977161,31.007269,15
2025-03-30,신중,45.771435,30.290677,10
2025-03-31,신중,36.129259,48.860344,50
2025-04-01,낙관,53.003695,41.209663,69
2025-04-02,신중,49.653000,37.236513,49
2025-04-03,신중,36.148309,47.209192,66
2025-04-04,공포,45.023219,58.742777,69
2025-04-05,신중,37.277718,49.278759,34
2025-04-06,공포,34.858208,52.961823,24
2025-04-07,신중,48.761724,47.371681,119
2025-04-08,신중,44.279716,43.383629,77
2025-04-09,공포,39.311096,51.313173,87
2025-04-10,공포,44.905823,54.974680,110
2025-04-11,신중,49.374821,43.501562,100
2025-04-12,공포,33.759756,53.252955,51
2025-04-13,신중,46.961526,37.193813,46
2025-04-14,낙관,57.068603,49.622577,81
2025-04-15,공포,42.533424,51.947926,59
2025-04-16,공포,43.221511,54.912609,73
2025-04-17,공포,33.609570,65.989253,66
2025-04-18,공포,48.982579,51.398933,70
2025-04-19,낙관,53.315750,41.068816,27
2025-04-20,신중,42.703672,42.853101,21
2025-04-21,낙관,53.675472,41.288225,56
2025-04-22,공포,39.405062,57.313945,71
2025-04-23,신중,49.617858,46.894890,76
2025-04-24,신중,48.231090,49.099986,56
2025-04-25,낙관,50.081355,42.493639,73
2025-04-26,신중,39.127015,49.177543,30
2025-04-27,공포,39.099796,51.334673,26
2025-04-28,신중,46.525388,46.604813,53
2025-04-29,신중,45.100055,49.633510,57
2025-04-30,신중,43.088130,47.078482,46
2025-05-01,신중,43.221814,43.956073,46
2025-05-02,공포,41.019909,51.742136,85
2025-05-03,신중,47.420102,31.007269,15
2025-05-04,신중,46.665847,30.290677,10
2025-05-05,신중,38.212863,45.007586,34
2025-05-06,신중,43.607908,41.032022,25
2025-05-07,신중,43.499767,41.975308,38
2025-05-08,신중,35.581422,48.225319,63
2025-05-09,낙관,60.179974,40.900382,61
2025-05-10,신중,47.988071,30.883841,14
2025-05-11,낙관,53.409435,42.327044,18
2025-05-12,공포,45.284849,60.413308,67
2025-05-13,탐욕,51.449532,51.910232,47
2025-05-14,낙관,52.454327,43.567771,64
2025-05-15,공포,40.379548,58.273093,35
2025-05-16,신중,44.411054,45.303876,62
2025-05-17,신중,46.586687,40.552582,36
2025-05-18,낙관,53.568739,35.797301,27
2025-05-19,탐욕,54.746655,51.153659,46
2025-05-20,공포,48.894327,55.419807,39
2025-05-21,낙관,59.318242,38.473673,53
2025-05-22,공포,42.274520,54.924806,50
2025-05-23,낙관,54.954232,49.521717,52
2025-05-24,신중,48.989462,40.393804,23
2025-05-25,신중,46.247966,37.807659,19
2025-05-26,신중,43.272421,42.233409,48
2025-05-27,신중,48.506397,32.880543,32
2025-05-28,공포,41.438137,62.128374,44
2025-05-29,낙관,58.152925,39.142871,66
2025-05-30,낙관,52.753908,46.347633,55
2025-05-31,공포,47.683617,53.136685,26
2025-06-01,신중,47.362337,38.854745,12
2025-06-02,신중,47.459921,34.083468,46
2025-06-03,탐욕,57.541124,51.139776,30
2025-06-04,낙관,58.286097,42.908160,73
2025-06-05,낙관,53.439092,45.291551,83
2025-06-06,공포,40.224204,55.342064,54
2025-06-07,신중,45.840346,47.335761,25
2025-06-08,공포,41.484556,51.738156,17
2025-06-09,낙관,62.490502,41.179342,75
2025-06-10,낙관,58.117789,49.281315,82
2025-06-11,탐욕,55.277883,52.138516,95
2025-06-12,탐욕,75.707582,63.447602,63
2025-06-13,탐욕,54.670464,58.902465,103
2025-06-14,공포,43.648934,50.317055,26
