period,label,kind,selection_group,x,y
2025,슈카,member,anchor,-0.578999904380376,-0.35778222745569904
2025,알상무,member,anchor,-0.8775213645412322,-0.6609719150895367
2025,니니,member,anchor,-0.7971958648402494,-1.3283969364238593
2025,근무,token,neighbor,-0.3008439269703832,-0.1937474442037744
2025,유튜버,token,neighbor,-0.41663231496001557,-0.38599110722604896
2025,생물유튜버,token,neighbor,-0.41366757354659667,-0.0505060980623521
2025,개인리딩,token,neighbor,-0.6084705478021587,-0.3590775869296052
2025,신탁,token,neighbor,-0.9239112571343964,-0.6126111514572905
2025,코스피인버스,token,neighbor,-0.44909512529551016,-0.3283398192377082
2025,매매법,token,neighbor,-0.784610025165462,-1.0878628529492371
2025,누나,token,community,-0.8317217389765312,-1.3673053747778203
2025,반도체누나,token,community,-0.6834608968281183,-0.9866790281305424
2025,차트공부,token,community,-0.784822649413204,-0.8671517666081109
2025,수익,token,market,-0.2735201016517359,0.04570273571202731
2025,상승,token,market,0.5528660582527285,-0.6542366199617268
2025,매수,token,market,-0.711301390160156,-0.01263377616444286
2025,금리,token,macro,0.8678211930817533,1.2225349575889088
2025,환율,token,macro,0.8497596917793773,0.8678634051964155
2025,코스피,token,macro,0.08108700616323052,-1.297427237546088
2025,분석,token,narrative,-0.16978138191662953,0.5384299480955301
2025,차트,token,narrative,-1.1463707962747358,-0.6340152876021898
2026,슈카,member,anchor,0.6812605638835821,-0.6026508161807018
2026,알상무,member,anchor,1.4075565174125957,-0.45168074962431565
2026,니니,member,anchor,1.0200989735131694,-0.1081344454619709
2026,인스타,token,neighbor,1.605083792831357,0.12045714037982148
2026,연금저축펀드,token,neighbor,0.9012428509691315,0.02957288183229528
2026,시초가,token,neighbor,0.8486497534072677,-0.3709749162743157
2026,변종,token,neighbor,0.27574271366998304,-0.16618045996965847
2026,풀매수,token,neighbor,0.4546944910292952,-0.1808846678306678
2026,인증,token,community,1.0191173520351193,0.03624522034253885
2026,니니누나,token,community,0.7226867369386012,-0.37380961165701015
2026,반도체,token,market,0.9453607043461214,0.9869776707877925
2026,삼성전자,token,market,0.9109378714654889,1.0341661187700049
2026,삼전,token,market,1.5892582323398692,-1.3788229675995687
2026,상승,token,market,1.0781774528700174,-1.2786834784715262
2026,주가,token,market,0.8052331532549184,0.6453120879522614
2026,환율,token,macro,-0.9135612225066463,-1.514975429110828
2026,코스피,token,macro,1.0125434210647506,-0.30119173118707077
2026,분석,token,narrative,-0.29663467687345886,0.7204554227053109
2026,요약,token,narrative,-0.7436608763786809,1.5340137475302216
2026,질문,token,narrative,-1.6969377397829704,-0.07043638452291014
이벤트주간,슈카,member,anchor,0.29824756935455665,0.409537319371258
이벤트주간,알상무,member,anchor,-0.42542855816941794,-1.4352059150948309
이벤트주간,니니,member,anchor,-0.02331695996769956,-0.5854503524435559
이벤트주간,리서치,token,neighbor,0.4013686467365843,0.7336460598644318
이벤트주간,믿음,token,sentiment,0.12632569088756407,0.3661499342777422
이벤트주간,도움,token,sentiment,0.27050658357693863,0.06515632523844661
이벤트주간,조언,token,sentiment,0.5471459705063509,0.5464009699903396
이벤트주간,알멘,token,community,-0.05659973252346286,-0.587782950500132
이벤트주간,위폴,token,community,0.11603980876353731,-0.40562566332479555
이벤트주간,삼전,token,market,0.22093164812883598,-1.4753106821736672
이벤트주간,삼성전자,token,market,0.08115402188802996,-0.24467227240846237
이벤트주간,매수,token,market,0.20016598431522206,-0.9634917571804074
이벤트주간,가격,token,market,0.8625393466244317,-0.7771939502215265
이벤트주간,비트코인,token,market,-0.5153666363134837,0.6231253990759631
이벤트주간,예측,token,narrative,-0.5937664986174883,0.100431744814856
이벤트주간,경고,token,sentiment,0.4776253275872709,-0.3683129746048887
이벤트주간,위기,token,sentiment,0.48220315551462656,-0.6013290317104373
이벤트주간,투자자,token,narrative,0.12304079039479313,-0.014002367165568696
이벤트주간,고객,token,narrative,-0.15294066287142588,1.5270819792370847
