label,kind,selection_group,x,y
슈카,member,anchor,0.29824756935455665,0.409537319371258
알상무,member,anchor,-0.42542855816941794,-1.4352059150948309
니니,member,anchor,-0.02331695996769956,-0.5854503524435559
리서치,token,neighbor,0.4013686467365843,0.7336460598644318
믿음,token,sentiment,0.12632569088756407,0.3661499342777422
도움,token,sentiment,0.27050658357693863,0.06515632523844661
조언,token,sentiment,0.5471459705063509,0.5464009699903396
알멘,token,community,-0.05659973252346286,-0.587782950500132
위폴,token,community,0.11603980876353731,-0.40562566332479555
삼전,token,market,0.22093164812883598,-1.4753106821736672
삼성전자,token,market,0.08115402188802996,-0.24467227240846237
매수,token,market,0.20016598431522206,-0.9634917571804074
가격,token,market,0.8625393466244317,-0.7771939502215265
비트코인,token,market,-0.5153666363134837,0.6231253990759631
예측,token,narrative,-0.5937664986174883,0.100431744814856
경고,token,sentiment,0.4776253275872709,-0.3683129746048887
위기,token,sentiment,0.48220315551462656,-0.6013290317104373
투자자,token,narrative,0.12304079039479313,-0.014002367165568696
고객,token,narrative,-0.15294066287142588,1.5270819792370847
